/link|/description|/closed|/id|/title|/sources/id|/sources/url|/geometry/date|/geometry/magnitudeValue|/geometry/type|/geometry/magnitudeUnit|/geometry/coordinates/0|/geometry/coordinates/1|/categories/id|/categories/title
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5198"|||"EONET_5198"|"Wildfires - Nacimiento Commune (Malloa Fire), Chile"|"PDC"|"http://emops.pdc.org/emops/?hazard_id=118373"||||||||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5198"|||"EONET_5198"|"Wildfires - Nacimiento Commune (Malloa Fire), Chile"|||"2021-01-08T16:45:00Z"||"Point"||-72.79902|-37.47497||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5198"|||"EONET_5198"|"Wildfires - Nacimiento Commune (Malloa Fire), Chile"|||||||||"wildfires"|"Wildfires"
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5197"|||"EONET_5197"|"Wildfires - Namming Nature Reserve, Western Australia, Australia"|"PDC"|"http://emops.pdc.org/emops/?hazard_id=118218"||||||||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5197"|||"EONET_5197"|"Wildfires - Namming Nature Reserve, Western Australia, Australia"|||"2021-01-04T21:28:00Z"||"Point"||115.58747|-30.96242||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5197"|||"EONET_5197"|"Wildfires - Namming Nature Reserve, Western Australia, Australia"|||||||||"wildfires"|"Wildfires"
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|"GDACS"|"https://www.gdacs.org/Cyclones/report.aspx?eventid=1000756&amp;eventtype=TC"||||||||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|"JTWC"|"https://www.metoc.navy.mil/jtwc/products/sh0821.tcw"||||||||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-01T12:00:00Z"|35.0|"Point"|"kts"|72.0|-11.6||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-01T18:00:00Z"|40.0|"Point"|"kts"|71.9|-11.2||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-02T00:00:00Z"|40.0|"Point"|"kts"|72.0|-10.9||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-02T06:00:00Z"|45.0|"Point"|"kts"|72.2|-10.9||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-02T12:00:00Z"|45.0|"Point"|"kts"|72.3|-11.0||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-02T18:00:00Z"|45.0|"Point"|"kts"|72.4|-11.1||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-03T00:00:00Z"|50.0|"Point"|"kts"|72.8|-11.3||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-03T06:00:00Z"|55.0|"Point"|"kts"|73.4|-11.5||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-03T12:00:00Z"|55.0|"Point"|"kts"|74.3|-12.0||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-03T18:00:00Z"|55.0|"Point"|"kts"|75.3|-12.8||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-04T00:00:00Z"|60.0|"Point"|"kts"|76.0|-14.1||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-04T06:00:00Z"|50.0|"Point"|"kts"|76.1|-14.7||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-04T12:00:00Z"|50.0|"Point"|"kts"|76.2|-15.4||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-04T18:00:00Z"|50.0|"Point"|"kts"|76.3|-15.7||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-05T00:00:00Z"|65.0|"Point"|"kts"|76.4|-16.1||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-05T06:00:00Z"|65.0|"Point"|"kts"|76.6|-16.4||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-05T12:00:00Z"|70.0|"Point"|"kts"|76.6|-16.5||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-05T18:00:00Z"|60.0|"Point"|"kts"|76.5|-16.6||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-06T00:00:00Z"|45.0|"Point"|"kts"|76.0|-16.9||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-06T06:00:00Z"|40.0|"Point"|"kts"|75.3|-16.5||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-06T12:00:00Z"|35.0|"Point"|"kts"|74.5|-16.4||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-06T18:00:00Z"|35.0|"Point"|"kts"|73.6|-16.3||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-07T00:00:00Z"|35.0|"Point"|"kts"|72.7|-16.3||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-07T06:00:00Z"|35.0|"Point"|"kts"|71.4|-16.3||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-07T12:00:00Z"|35.0|"Point"|"kts"|70.2|-16.4||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-07T18:00:00Z"|40.0|"Point"|"kts"|69.0|-16.7||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-08T00:00:00Z"|40.0|"Point"|"kts"|67.9|-17.1||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-08T06:00:00Z"|35.0|"Point"|"kts"|67.3|-17.6||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-08T12:00:00Z"|30.0|"Point"|"kts"|66.6|-18.0||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-08T18:00:00Z"|25.0|"Point"|"kts"|65.6|-18.2||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||"2021-01-09T00:00:00Z"|25.0|"Point"|"kts"|64.2|-18.4||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5192"|||"EONET_5192"|"Tropical Cyclone Danilo"|||||||||"severeStorms"|"Severe Storms"
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5194"|||"EONET_5194"|"Iceberg A68E"|"NATICE"|"http://www.natice.noaa.gov/pub/icebergs/Iceberg_Tabular.csv"||||||||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5194"|||"EONET_5194"|"Iceberg A68E"|||"2020-12-31T00:00:00Z"|264.0|"Point"|"NM^2"|-35.35|-56.46||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5194"|||"EONET_5194"|"Iceberg A68E"|||||||||"seaLakeIce"|"Sea and Lake Ice"
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5195"|||"EONET_5195"|"Iceberg A68F"|"NATICE"|"http://www.natice.noaa.gov/pub/icebergs/Iceberg_Tabular.csv"||||||||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5195"|||"EONET_5195"|"Iceberg A68F"|||"2020-12-31T00:00:00Z"|98.0|"Point"|"kts"|-35.0|-56.49||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5195"|||"EONET_5195"|"Iceberg A68F"|||||||||"seaLakeIce"|"Sea and Lake Ice"
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5196"|||"EONET_5196"|"Tengger Caldera Volcano, Indonesia"|"SIVolcano"|"https://volcano.si.edu/volcano.cfm?vn=263310"||||||||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5196"|||"EONET_5196"|"Tengger Caldera Volcano, Indonesia"|||"2020-12-28T00:00:00Z"||"Point"||112.95|-7.942||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5196"|||"EONET_5196"|"Tengger Caldera Volcano, Indonesia"|||||||||"volcanoes"|"Volcanoes"
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5188"|||"EONET_5188"|"Wildfire - San Diego County (Creek Fire), California, United States"|"PDC"|"http://emops.pdc.org/emops/?hazard_id=117733"||||||||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5188"|||"EONET_5188"|"Wildfire - San Diego County (Creek Fire), California, United States"|||"2020-12-24T15:26:00Z"||"Point"||-117.25529|33.42001||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5188"|||"EONET_5188"|"Wildfire - San Diego County (Creek Fire), California, United States"|||||||||"wildfires"|"Wildfires"
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5187"|||"EONET_5187"|"Wildfire - San Bernardino County (Duncan Fire), California, United States"|"PDC"|"http://emops.pdc.org/emops/?hazard_id=117732"||||||||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5187"|||"EONET_5187"|"Wildfire - San Bernardino County (Duncan Fire), California, United States"|||"2020-12-24T15:15:00Z"||"Point"||-117.46379|34.19871||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5187"|||"EONET_5187"|"Wildfire - San Bernardino County (Duncan Fire), California, United States"|||||||||"wildfires"|"Wildfires"
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5191"|||"EONET_5191"|"Sheveluch Volcano, Russia"|"SIVolcano"|"http://volcano.si.edu/volcano.cfm?vn=300270"||||||||
"https://eonet.sci.gsfc.nasa.gov/api/v3/events/EONET_5191"|||"EONET_5191"|"Sheveluch Volcano, Russia"|||"2020-12-22T08:55:15Z"||"Point"||161.36|56.653||
